Date,Serial number,Sequence code,Name,Order,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies,Sex,Adult/Larvae,Latitude,Longitude,Elevation,Locality,Environment,Collector
2020/8/7,20080702-3(0),Asp8,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/8/9,20080906-6,Cl06-1(ERO-0026),Cyrtomorphus liui,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Cyrtomorphus,,liui,,_,Adult,24.751517,121.274647,757,"Jianshi Township, Hsinchu County",Microporus affinis,___(Guan Jie Phang)
2020/8/9,20080906-7,Cl06-2,Cyrtomorphus liui,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Cyrtomorphus,,liui,,_,Adult,24.751381,121.274572,750,"Jianshi Township, Hsinchu County",Microporus affinis,___(Guan Jie Phang)
2020/8/9,20080906-11,,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Larvae(5),24.751414,121.272889,712,"Jianshi Township, Hsinchu County",,___(Guan Jie Phang)
2020/8/11,20081116-1,,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Larvae(4),24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-3(0),Tf16-1,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-4(0),Tf16-2,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/11,20081116-5(0),Tf16-3,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.832719,121.746331,122,"Jiaoxi Township, Yilan County",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/15,20081502-1,Ec02-1,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,25.137331,121.536272,298,"Shilin District, Taipei City",Lentinus squarrosulus,___(Guan Jie Phang)
2020/8/20,20082002-1(0),Am02-1,Amblyopus interruptus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Amblyopus,,interruptus,,_,Adult,25.024008,121.587581,312,"Nangang District, Taipei City",Termitomyces microcarpus,___(Guan Jie Phang)
2020/8/20,20082002-2(0),Am02-2,Amblyopus interruptus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Amblyopus,,interruptus,,_,Adult,25.024008,121.587581,312,"Nangang District, Taipei City",Termitomyces microcarpus,___(Guan Jie Phang)
2020/8/20,20082002-7,Ec02-4,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,25.023,121.587,290,"Nangang District, Taipei City",Favolus tenuiculus,___(Guan Jie Phang)
2020/8/23,20082302-6(1),Th02-1,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Adult,25.028561,121.590453,273,"Nangang District, Taipei City",Dead wood with decayed fungus,___(Guan Jie Phang)
2020/8/23,20082302-7(1),Th02-2,Triplax hurusyoi,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Triplax,,hurusyoi,,,Adult,25.028561,121.590453,273,"Nangang District, Taipei City",Dead wood with decayed fungus,___(Guan Jie Phang)
2020/8/23,20082302-18(3),,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,25.023217,121.586522,309,"Nangang District, Taipei City",Dead wood with Favolus tenuiculus,___(Guan Jie Phang)
2020/8/23,20082302-21,Ec02-2,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,25.023217,121.586522,309,"Nangang District, Taipei City",Favolus tenuiculus,___(Guan Jie Phang)
2020/9/3,20090302-3(0),Asp9,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/9/3,20090302-4(0),Asp4,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_,Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/9/3,20090302-5,Asp5,Aulacocheilus (Aulacocheilus) uncusifer,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,uncusifer,,_(?),Adult,25.095831,121.595278,78,"Neihu District, Taipei City",Perenniporia ochroleuca,___(Guan Jie Phang)
2020/9/6,20090606-2,Mt06-1,Micrencaustes (Mimencaustes) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Mimencaustes,taiwana,,_,Adult,24.7517,121.273006,736,"Jianshi Township, Hsinchu County",Microporus affinis,___(Guan Jie Phang)
2020/9/23,20092302-7,Am02-3,Amblyopus interruptus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Amblyopus,,interruptus,,_,Adult,25.024569,121.588086,312,"Nangang District, Taipei City",Termitomyces sp.,___(Guan Jie Phang)
2020/9/23,20092302-9(1),Csp02(Csp02_1),Tritoma yamazii species complex,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,,,,,Adult,25.021886,121.585392,324,"Nangang District, Taipei City",Fuscoporia gilva,___(Guan Jie Phang)
2020/9/23,20092302-10(1),Msp02-1,Microsternus sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Dacnini,,Microsternus,,,,,Adult,25.021886,121.585392,324,"Nangang District, Taipei City",Phellinus s. l.,___(Guan Jie Phang)
2020/9/23,20092302-13(1),Msp02-2,Microsternus sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Dacnini,,Microsternus,,,,,Adult,25.021886,121.585392,324,"Nangang District, Taipei City",Phellinus s. l.,___(Guan Jie Phang)
2020/9/25,20092514-1(0),Esp14-1,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
2020/9/25,20092514-2(0),Esp14-2,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
2020/9/25,20092514-3(0),Esp14-3,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
2020/9/25,20092514-4(0),Esp14-4,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
2020/9/25,20092514-5(0),Esp14-5,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
